"","X.1","X","id","first_name","last_name","gender","height","weight","zombies_killed","years_of_education","major","age"
"97",97,97,97,"Ryan","Davis","Male",65.0531668817681,133.128702591486,2,1,"education",19.4913257853117
"98",98,98,98,"Angela","Hernandez","Female",64.7902990572611,139.499737028663,2,2,"agricultural sciences",19.7686465810491
"99",99,99,99,"Teresa","Hill","Female",69.7805163666624,162.173613432865,2,1,"philosophy",25.8325830871413
"100",100,100,100,"Ralph","Cooper","Male",65.7191881253648,116.476403321096,5,2,"epidemiology",21.3004623046
"101",101,101,101,"Gerald","Alvarez","Male",72.3067834843546,164.54988410582,3,7,"biology",21.9088931205333
"102",102,102,102,"Jesse","Kim","Male",71.8420744040795,141.452964769086,3,3,"philosophy",24.1509077037254
"103",103,103,103,"Louis","Burke","Male",72.4288301516587,149.35858437383,0,2,"mechanical engineering",19.6307161299964
"104",104,104,104,"Debra","Garrett","Female",69.1478415779118,143.731116562634,3,5,"applied sciences",23.1658231739451
"105",105,105,105,"Kevin","Fowler","Male",69.118151924232,168.809114209625,4,3,"military strategy",18.4232733837782
"106",106,106,106,"Louise","Stevens","Female",68.2539176993554,151.153462223587,4,6,"pharmacology",19.9432956566196
"107",107,107,107,"Sara","Holmes","Female",63.7145253592967,134.634872964905,3,2,"communication",17.0405109187226
"108",108,108,108,"Ann","Robinson","Female",66.3473506519083,140.149079556205,1,0,"medicine/nursing",20.5769478229599
"109",109,109,109,"Thomas","Fuller","Male",69.632993299453,140.856275857952,5,5,"military strategy",24.1408945521851
"110",110,110,110,"Edward","Adams","Male",72.4297541085086,160.835641268113,6,1,"integrated water resources management",23.7786293318873
"111",111,111,111,"Wanda","Russell","Female",69.9428718377618,133.827925646903,3,2,"city planning",24.8129787825818
"112",112,112,112,"Jeffrey","Young","Male",68.1350244077493,154.770224841879,5,1,"criminal justice administration",15.478908717048
"113",113,113,113,"Marilyn","Bryant","Female",62.7318713406427,125.877812084871,3,3,"city planning",18.8443545211027
"114",114,114,114,"Sean","Stanley","Male",72.6682886859855,176.668705324773,2,3,"agricultural sciences",19.1907819376401
"115",115,115,115,"Robin","Wood","Female",72.2731566660982,142.808790572484,6,1,"city planning",25.356652596187
"116",116,116,116,"James","Garrett","Male",65.536514918352,137.966167781831,3,1,"education",15.3999403853466
"117",117,117,117,"Kathleen","Harris","Female",65.7055805998488,141.964046930043,2,3,"psychology",18.6209046346166
"118",118,118,118,"Christina","Gilbert","Female",65.2195720882424,143.485282399877,2,4,"pharmacology",18.8156837228072
"119",119,119,119,"Judith","Ferguson","Female",55.6216011327331,104.467312353202,2,1,"business administration",11.1306549890679
"120",120,120,120,"Roger","Howell","Male",69.8305111190745,149.979077569736,4,2,"biology",21.7271391709241
"121",121,121,121,"Terry","Bennett","Male",72.6065211998762,154.881387233853,1,4,"business administration",23.0767572549758
"122",122,122,122,"Jason","Gonzales","Male",65.5459777684721,138.831687522561,4,3,"business administration",19.8210498826747
"123",123,123,123,"Terry","Matthews","Male",68.5715128486476,147.50555845968,3,3,"botany",18.7284696645024
"124",124,124,124,"Virginia","Barnes","Female",62.037251294491,130.805617715906,1,1,"epidemiology",18.1811939726439
"125",125,125,125,"Sarah","Ruiz","Female",68.8126672217769,122.726594345337,3,4,"integrated water resources management",24.9181175760034
"126",126,126,126,"Eric","Young","Male",70.4437125004909,171.200209356227,4,5,"mechanical engineering",20.4206454866931
"127",127,127,127,"Judy","Fields","Female",62.8290302191551,127.730191959951,5,3,"philosophy",19.7379313819748
"128",128,128,128,"Denise","Perry","Female",62.17699200941,125.132902051359,5,2,"botany",16.8925335169112
"129",129,129,129,"Martin","Wagner","Male",70.2666785096437,154.674636436987,2,3,"military strategy",20.2432269085901
"130",130,130,130,"Sara","Flores","Female",71.3029752065118,165.488501060743,3,1,"logistics",20.6477421698984
"131",131,131,131,"Sandra","Myers","Female",70.0988072864793,157.734876519091,2,2,"energy studies",19.5991313156941
"132",132,132,132,"Martin","Myers","Male",68.6558778601588,146.442186831354,6,6,"integrated water resources management",21.6533330785417
"133",133,133,133,"Randy","Morris","Male",71.2530443731643,178.585165115974,3,1,"physical education",17.3589562245727
"134",134,134,134,"Jeremy","Williams","Male",55.6929845329038,114.155003060457,5,3,"human services",13.6760496286106
"135",135,135,135,"Patrick","Perez","Male",69.1103092166378,141.729021088528,4,1,"human services",22.2102264201239
"136",136,136,136,"Steven","Robinson","Male",67.6247146495757,146.415953796015,1,6,"environmental science",21.6496787937593
"137",137,137,137,"Jimmy","Scott","Male",67.3596133108568,138.668063039612,1,4,"botany",21.9248661172545
"138",138,138,138,"Martin","Carpenter","Male",67.9638379618449,133.761666047326,3,2,"medicine/nursing",20.5833563287289
"139",139,139,139,"Lori","Hart","Female",64.9963724948072,127.488164341867,2,3,"economics",19.744540195699
"140",140,140,140,"Edward","Mccoy","Male",70.3475032068193,172.622487923452,1,3,"pharmacology",18.9989268239557
"141",141,141,141,"Ann","Dunn","Female",65.3631127548908,143.341456762623,3,2,"physical education",15.6589882052113
"142",142,142,142,"Pamela","Gardner","Female",68.3836981053949,137.406389843308,4,4,"environmental science",21.9423344910201
"143",143,143,143,"Helen","Schmidt","Female",66.1629698825287,146.678343986378,4,1,"education",19.2205655977896
"144",144,144,144,"Joseph","Cunningham","Male",62.3920248347552,107.852800997991,7,2,"physical education",19.488388319739
"145",145,145,145,"Roy","Fernandez","Male",66.6345147638939,138.539867948783,5,4,"business administration",17.6827539092628
"146",146,146,146,"Ann","Dixon","Female",66.7650205687085,144.878835647139,1,2,"culinart services",21.7225170744115
"147",147,147,147,"Dorothy","Foster","Female",65.3884530891111,138.139940149343,0,1,"botany",19.5042424672925
"148",148,148,148,"Edward","Foster","Male",71.0124442423077,173.426801860606,3,2,"communication",16.9170087648053
"149",149,149,149,"Daniel","Welch","Male",66.1653776153169,133.467358290342,3,8,"psychology",19.0800714474599
"150",150,150,150,"Bonnie","Gonzalez","Female",68.0356649660405,142.308632621654,2,5,"biology",24.0024606392975
"151",151,151,151,"Robin","Gomez","Female",65.1602389755649,137.787172447093,1,3,"applied sciences",20.5505721364646
"152",152,152,152,"Anne","Hernandez","Female",62.6121042931211,122.908432725551,0,2,"education",20.6574029897043
"153",153,153,153,"Jane","Dean","Female",60.2746062216588,118.43180712218,5,1,"integrated water resources management",15.4966406511116
"154",154,154,154,"Heather","Romero","Female",65.0162048877671,141.28974250903,3,1,"applied sciences",19.3726996489946
"155",155,155,155,"Cynthia","Ford","Female",66.702971643438,137.680677045209,3,2,"city planning",21.3012409010526
"156",156,156,156,"John","Young","Male",72.6980650824245,140.65220980326,1,2,"applied sciences",24.5692502471879
"157",157,157,157,"Mary","Rodriguez","Female",65.4032725311178,136.302430862433,2,3,"energy studies",19.8892116746811
"158",158,158,158,"Phyllis","Spencer","Female",65.1810870569907,140.944700232589,4,0,"city planning",19.5510834040375
"159",159,159,159,"James","Mendoza","Male",68.3351149219116,155.586813435318,4,2,"applied sciences",17.3664590115729
"160",160,160,160,"Mildred","Lopez","Female",67.7644334876737,134.748780415766,4,4,"philosophy",22.4905955395711
"161",161,161,161,"Kathryn","Schmidt","Female",67.7010448930445,143.175412677507,5,1,"city planning",22.7615114980342
"162",162,162,162,"Roy","Dunn","Male",75.2708063257028,167.362711387274,2,1,"biology",23.2832842559243
"163",163,163,163,"Edward","Martin","Male",68.0883418845808,141.39259831794,2,2,"communication",19.5707930185833
"164",164,164,164,"Janet","Cook","Female",67.3337945486526,139.52740336674,5,2,"epidemiology",20.6562376310146
"165",165,165,165,"Jane","Graham","Female",69.0673186357349,140.758320220459,5,2,"economics",21.4604744422956
"166",166,166,166,"Angela","Ramirez","Female",65.4238427931249,125.765904800737,3,2,"integrated water resources management",20.8797183129012
"167",167,167,167,"Louis","Powell","Male",74.0407224878369,164.625739631931,6,3,"pharmacology",22.2699049652548
"168",168,168,168,"Douglas","Simpson","Male",73.4955062150739,166.461023044566,6,4,"physical education",22.6747567278595
"169",169,169,169,"Rose","Mccoy","Female",70.319314191023,143.807130321311,2,4,"psychology",27.407897812969
"170",170,170,170,"Anna","Cruz","Female",68.2922135859328,143.984264917253,4,5,"agricultural sciences",22.1991795974782
"171",171,171,171,"Evelyn","Gutierrez","Female",66.4024745833534,121.816332995867,2,5,"psychology",22.7049025229916
"172",172,172,172,"Theresa","Martin","Female",69.3826925913612,140.272438594666,4,4,"business administration",25.7457314671256
"173",173,173,173,"Christina","Robinson","Female",67.1435098886064,125.268296237403,5,3,"integrated water resources management",19.4307146146141
"174",174,174,174,"Mary","Fowler","Female",65.0825324808192,113.53577682999,3,2,"biology",19.0651352009662
"175",175,175,175,"Jason","Burns","Male",69.2922662119392,168.347955560117,3,6,"culinart services",17.9481310027093
"176",176,176,176,"Amanda","Burton","Female",63.6347657392632,139.202724308917,4,7,"applied sciences",18.152218071042
"177",177,177,177,"Juan","Barnes","Male",62.3387637814505,133.553530944521,3,1,"mechanical engineering",14.6117583979463
"178",178,178,178,"Cheryl","Clark","Female",64.1896162933077,143.455383926543,2,2,"mechanical engineering",17.9435890026154
"179",179,179,179,"Maria","Castillo","Female",68.2912446819709,140.693556588366,3,1,"military strategy",19.1869065925142
"180",180,180,180,"Nancy","Fox","Female",69.2664559775658,154.988930850339,4,4,"military strategy",23.6771665946178
"181",181,181,181,"Stephen","Berry","Male",67.6298212800989,139.428561035706,2,3,"epidemiology",18.6170393556636
"182",182,182,182,"Charles","Duncan","Male",62.3260448686443,116.245760066297,4,5,"pharmacology",19.9048158144936
"183",183,183,183,"Douglas","Miller","Male",68.1158627811494,154.098113843096,1,4,"communication",20.0452714600873
"184",184,184,184,"Henry","Parker","Male",67.8075316923338,151.626687286075,2,5,"pharmacology",22.3778228843275
"185",185,185,185,"Martin","Williamson","Male",69.6882830006978,166.58984343972,4,2,"physical education",17.9420122168915
"186",186,186,186,"Ruth","Webb","Female",66.8229083956299,119.431585684456,3,1,"agricultural sciences",23.7860369586827
"187",187,187,187,"Ann","Reid","Female",71.0219195745648,141.798410115979,2,1,"human services",21.562074077738
"188",188,188,188,"Donald","Hicks","Male",71.4929956600975,162.212581758061,5,3,"criminal justice administration",19.9141247301744
"189",189,189,189,"Heather","Hernandez","Female",70.3783185035093,130.539070938706,4,0,"physical education",27.1677721154212
"190",190,190,190,"Antonio","Carter","Male",72.0990753717208,181.703854067051,1,4,"pharmacology",16.9629669374624
"191",191,191,191,"Albert","Larson","Male",65.6127980618911,139.025939420675,1,1,"animal husbandry",19.0792447143167
"192",192,192,192,"Sean","Foster","Male",64.8168486944481,136.762333420986,4,0,"medicine/nursing",16.9588460953823
"193",193,193,193,"Nancy","Wallace","Female",66.5939978700385,138.283216091307,5,2,"biology",19.5883081532914
"194",194,194,194,"Anne","Reed","Female",59.704204591653,111.490754459882,3,3,"epidemiology",18.4032636501347
"195",195,195,195,"Jonathan","Ramirez","Male",68.7492988683921,147.61039558602,2,5,"pharmacology",16.5063965744738
"196",196,196,196,"Carlos","Porter","Male",72.5950221236089,155.704134790756,6,4,"integrated water resources management",20.8164943839734
"197",197,197,197,"Gloria","Hayes","Female",65.6549112719639,141.312196782684,4,3,"medicine/nursing",20.2986989621271
"198",198,198,198,"Clarence","Gilbert","Male",69.1684889484685,154.571428381669,2,4,"communication",18.1315039360355
"199",199,199,199,"Andrew","Shaw","Male",73.2127687442013,160.29477030839,0,1,"economics",20.0350442244435
"200",200,200,200,"Eric","Lopez","Male",74.6716585866753,176.906750917088,1,0,"human services",23.8375079718924
"201",201,201,201,"Heather","Stone","Female",63.5468095225924,113.269808499392,6,0,"mechanical engineering",19.0196939648927
"202",202,202,202,"Janice","Davis","Female",67.898715384664,154.901170234703,3,2,"animal husbandry",20.3795788677007
"203",203,203,203,"Kelly","Hernandez","Female",67.7707213572951,151.721873995125,2,2,"medicine/nursing",21.2237011632016
"204",204,204,204,"Angela","Miller","Female",65.0059324681286,129.499714677656,5,3,"human services",21.9457990111739
"205",205,205,205,"Christopher","Hamilton","Male",72.6768143426273,161.18563763455,2,2,"city planning",20.0290639598641
"206",206,206,206,"Pamela","Reynolds","Female",63.4978501976286,128.37586969231,4,2,"philosophy",17.6413057790911
"207",207,207,207,"Phyllis","King","Female",64.6574199960787,129.575585347831,6,3,"agricultural sciences",19.0357468425494
"208",208,208,208,"Ralph","Anderson","Male",66.709757729336,151.711401210122,4,4,"city planning",17.6400616958166
"209",209,209,209,"Kevin","Elliott","Male",75.4558041653354,175.504184575418,4,3,"integrated water resources management",23.8644297682413
"210",210,210,210,"Stephanie","Watson","Female",66.7106500978498,130.716346985161,2,1,"communication",20.7904234363334
"211",211,211,211,"Frank","Reid","Male",67.1962908074847,125.564772719834,1,3,"philosophy",18.4098416170369
"212",212,212,212,"Daniel","Cook","Male",72.0462801385344,157.087643641132,4,3,"epidemiology",21.3033664167868
"213",213,213,213,"Tammy","Armstrong","Female",63.6658356682496,127.320175380425,4,0,"business administration",20.570650244505
"214",214,214,214,"Charles","Gonzalez","Male",68.5727482638938,136.140825373698,7,4,"pharmacology",20.2031021846162
"215",215,215,215,"Diana","Ortiz","Female",66.9512740400202,151.760664966912,5,4,"pharmacology",17.172530874515
"216",216,216,216,"Debra","Simpson","Female",68.8363651131725,156.990548471471,2,3,"communication",21.4425890250723
"217",217,217,217,"Fred","Butler","Male",69.8585472126913,149.537978109319,0,7,"communication",18.1809990053257
"218",218,218,218,"Terry","Porter","Male",70.6556919992462,140.050545935666,2,2,"mechanical engineering",27.1420517603018
"219",219,219,219,"Kathy","Dunn","Female",64.4504763481788,126.807591240968,2,4,"criminal justice administration",17.5509879093282
"220",220,220,220,"Earl","Franklin","Male",71.3016830838696,141.569791553709,4,3,"integrated water resources management",21.4875261147933
"221",221,221,221,"Frances","Lawson","Female",66.8541652930618,138.166338452843,5,5,"economics",20.2655986754387
"222",222,222,222,"Roger","Powell","Male",67.8024997839069,142.849113113336,2,1,"logistics",16.7482270941759
"223",223,223,223,"Russell","Jenkins","Male",67.0733868936924,128.01368083828,3,4,"physical education",22.2247871109024
"224",224,224,224,"Tammy","Gomez","Female",61.350438303299,120.342551228894,2,3,"agricultural sciences",18.3188817627601
"225",225,225,225,"Walter","Lee","Male",66.5219670533494,150.727294001308,3,4,"military strategy",19.5090887523011
"226",226,226,226,"Emily","Rivera","Female",67.6075036256128,141.599980673496,3,6,"city planning",16.5215123695022
"227",227,227,227,"Maria","Wallace","Female",62.9421059065603,132.067721446329,0,6,"environmental science",19.7053179875936
"228",228,228,228,"Judith","Gonzalez","Female",64.5087190009156,124.107980763661,1,1,"criminal justice administration",23.5316216056835
"229",229,229,229,"Kevin","Hansen","Male",66.2340195112086,150.897416594377,0,3,"human services",19.1926678635933
"230",230,230,230,"Shawn","Baker","Male",71.4764561866916,153.106975418017,3,4,"physical education",22.3503011106764
"231",231,231,231,"Kathleen","Wright","Female",63.3542969280243,118.546033517866,2,5,"business administration",21.9374286751403
"232",232,232,232,"Teresa","Anderson","Female",67.5618512439428,146.037132865095,2,4,"energy studies",21.1350760378005
"233",233,233,233,"Harry","Cruz","Male",69.9551192389601,148.948903864219,4,1,"city planning",20.5742340162349
"234",234,234,234,"Louise","Stevens","Female",69.1942850057096,149.242891102338,6,2,"logistics",22.9123296212519
"235",235,235,235,"Betty","Howard","Female",63.5470148927136,145.417240764156,4,4,"economics",16.5393862701157
"236",236,236,236,"Joshua","Andrews","Male",71.402019531266,149.176127641346,4,1,"education",21.0454124175524
"237",237,237,237,"Bruce","Reid","Male",77.3675776835778,191.081728230927,1,3,"business administration",24.5650746567996
"238",238,238,238,"Dennis","Meyer","Male",75.8536050913813,188.925124418893,3,4,"environmental science",24.1755496474871
"239",239,239,239,"Michelle","Harrison","Female",66.5465516871866,121.891170388306,3,2,"physical education",22.3931585351734
"240",240,240,240,"Lisa","Russell","Female",67.298991450878,145.721927856205,5,3,"culinart services",17.9666286402382
"241",241,241,241,"Brenda","Black","Female",65.7355216489288,131.271311918239,2,3,"criminal justice administration",23.2628637211386
"242",242,242,242,"Brian","Olson","Male",62.5404377407129,148.950596054429,2,1,"logistics",13.4979836064563
"243",243,243,243,"Catherine","Griffin","Female",69.5482025685058,136.001118620158,3,1,"pharmacology",26.5768911328832
"244",244,244,244,"Marilyn","Rodriguez","Female",67.0390871374271,152.551347230483,3,2,"biology",19.5984137053848
"245",245,245,245,"Carol","Ryan","Female",69.0279171795463,142.751931996376,3,2,"epidemiology",23.0098081140648
"246",246,246,246,"Todd","Willis","Male",72.8471987509519,177.69080386386,4,0,"environmental science",20.006071441878
"247",247,247,247,"Fred","Knight","Male",62.0719609660693,137.013997287354,3,3,"applied sciences",14.9705085070231
"248",248,248,248,"Harold","Murphy","Male",68.827424754305,174.833973933273,1,2,"physical education",20.2755571825329
"249",249,249,249,"Kathleen","Green","Female",65.9956492640048,139.853638076895,3,4,"communication",19.6558503141228
"250",250,250,250,"Marilyn","Patterson","Female",65.21676753092,128.065371523357,3,5,"architecture",20.2308995581807
"251",251,251,251,"Julie","Fields","Female",61.597025228294,120.526312719194,2,4,"medicine/nursing",19.5981536594065
"252",252,252,252,"Janet","Armstrong","Female",66.4466217997676,128.234815316518,7,4,"biology",22.095472826362
